question_id,event_id,domain,event_name,question,prediction_date,ground_truth,resolution_source,risk_flags,event_summary,source_urls,review_status,review_notes
a597760e5a1d130b5225,584fb2017c3586d7cd80,politics,2026 Antiguan general election,"What was the outcome of the 2026 Antiguan general election on May 1, 2026?",2026-04-30,"The ABLP led by Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office.",https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/,,"2026-05-01 | wikipedia_current_events | 2026 Antiguan general election | Official results from yesterday's election indicated that the ABLP led by Antiguan prime minister Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office. (Antigua.news)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/; https://apnews.com/article/antigua-barbuda-gaston-browne-reelection-d447535a8fdd8eeb9969449812a88dfa,unreviewed,
fdf00920d88d2388021a,c30f447214b0c520118b,politics,2026 Iran war ceasefire negotiations proposal,Did Iran propose negotiations with the United States via Pakistan mediators to end the Iran war by 2026-04-30?,2026-04-30,Iran sent a proposal for negotiations with the United States to mediators from Pakistan in an effort to end the Iran war.,Reuters article on 2026-05-01,invalid_resolution_source_url; needs_external_fact_check,2026-05-01 | wikipedia_current_events | 2026 Iran war ceasefire | State media IRNA reports that Iran has sent a proposal for negotiations with the United States to mediators from Pakistan in an effort to end the Iran war.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://www.reuters.com/world/asia-pacific/uae-says-iran-cannot-be-trusted-over-hormuz-peace-efforts-an-impasse-2026-05-01/,unreviewed,
b0487842adf51d53b559,855034f58a0673541dc2,politics,ABLP election victory in Antigua and Barbuda,"Who will win the May 1, 2026 election in Antigua and Barbuda?",2026-04-29,"The ABLP led by Gaston Browne won 15 of 17 seats, with Browne sworn in for a fourth term",Antigua.news and AP News,invalid_resolution_source_url; needs_external_fact_check,"2026-05-01 | wikipedia_current_events | ABLP | Official results from yesterday's election indicated that the ABLP led by Antiguan prime minister Gaston Browne won 15 of 17 seats, while UPP leader Jamale Pringle and BPM leader Trevor Walker each retained their own seats. Browne is sworn in for a fourth term in office. (Antigua.news)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://antigua.news/2026/05/01/pm-browne-and-ag-benjamin-officially-sworn-in-following-election-victory/; https://apnews.com/article/antigua-barbuda-gaston-browne-reelection-d447535a8fdd8eeb9969449812a88dfa,unreviewed,
08eb0babbf8e7be53172,89812c9d505791d12f36,politics,Leon Botstein's retirement announcement due to Jeffrey Epstein ties,"Would Leon Botstein announce his retirement due to ties to Jeffrey Epstein by May 1, 2026?",2026-04-30,"Leon Botstein, president of Bard College in New York, announces his retirement over his ties to the late financier and sex offender Jeffrey Epstein.",AP News,invalid_resolution_source_url; needs_external_fact_check,"2026-05-01 | wikipedia_current_events | Connections of Jeffrey Epstein | Leon Botstein, president of Bard College in New York, U.S., announces his retirement over his ties to the late financier and sex offender Jeffrey Epstein. (AP)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://apnews.com/article/bard-college-jeffery-epstein-db00b913eb1c231e135179b52e99ee95; https://www.independent.co.uk/news/new-york-president-jeffrey-epstein-executive-committee-god-b2969293.html,unreviewed,
efb7c5d49150bad2ad81,30641de8f14dc88f4080,politics,European Parliament Resolution on Russian Leaders and Ukraine War,What resolution did the European Parliament adopt on 2026-04-30 regarding sanctions and a tribunal for Russian leaders in the context of the Ukraine war?,2026-04-30,The European Parliament adopted a resolution supporting the establishment of a special tribunal to prosecute Russian leaders for crimes related to the war in Ukraine and calls for sanctions to remain until a peace agreement is fully implemented.,https://euromaidanpress.com/2026/04/30/european-parliament-backs-establishment-of-a-special-tribunal-for-russia/,,2026-05-01 | wikipedia_current_events | European Parliament | The European Parliament adopts a resolution supporting the establishment of a special tribunal to prosecute Russian leaders for crimes related to the war in Ukraine and calls for sanctions to remain until a peace agreement is fully implemented.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://euromaidanpress.com/2026/04/30/european-parliament-backs-establishment-of-a-special-tribunal-for-russia/,unreviewed,
396b7b1512dcfe442bc7,dba0ed56a42f5df4b743,politics,Labour Day Rally in Manila,"What was the outcome of the Labour Day rally in Manila on May 1, 2026?",2026-04-30,"Protesters attempted to storm the U.S. embassy during the rally, clashed with police, and injured seven officers.",Philippine Daily Inquirer,invalid_resolution_source_url; needs_external_fact_check,"2026-05-01 | wikipedia_current_events | Labour Day | A Labour Day rally organized by Kilusang Mayo Uno is held in Manila, Philippines. During the rally, protesters attempt to storm the U.S. embassy to demand an end to the Iran war and clash with police, injuring seven officers. (Philippine Daily Inquirer)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://english.news.cn/asiapacific/20260501/f5c1c4a19a2f42a39085ec7cc1dc09a5/c.html; https://newsinfo.inquirer.net/2221850/police-protesters-clash-over-cops-hurt-at-labor-day-rally-effigy-burningq,unreviewed,
39d96ef1ea0a59d3d6d7,70876d6794c98bb6373d,politics,Leon Botstein's retirement announcement,"Will Leon Botstein, president of Bard College, announce his retirement by May 1, 2026 due to his ties to Jeffrey Epstein?",2026-04-30,"Leon Botstein announced his retirement on May 1, 2026, citing his ties to Jeffrey Epstein.",AP News and The Independent,invalid_resolution_source_url; needs_external_fact_check,"2026-05-01 | wikipedia_current_events | Leon Botstein | Leon Botstein, president of Bard College in New York, U.S., announces his retirement over his ties to the late financier and sex offender Jeffrey Epstein. (AP)",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://apnews.com/article/bard-college-jeffery-epstein-db00b913eb1c231e135179b52e99ee95; https://www.independent.co.uk/news/new-york-president-jeffrey-epstein-executive-committee-god-b2969293.html,unreviewed,
7cedeb32077eb3129528,2dcef1f29dd44c7b2d4d,politics,European Parliament Resolution on Russia–Ukraine Relations,"What resolution did the European Parliament adopt on April 30, 2026 regarding Russia and Ukraine?",2026-04-30,The European Parliament adopted a resolution supporting the establishment of a special tribunal to prosecute Russian leaders for crimes related to the war in Ukraine and calls for sanctions to remain until a peace agreement is fully implemented.,https://euromaidanpress.com/2026/04/30/european-parliament-backs-establishment-of-a-special-tribunal-for-russia/,,2026-05-01 | wikipedia_current_events | Russia–European Union relations | The European Parliament adopts a resolution supporting the establishment of a special tribunal to prosecute Russian leaders for crimes related to the war in Ukraine and calls for sanctions to remain until a peace agreement is fully implemented.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://euromaidanpress.com/2026/04/30/european-parliament-backs-establishment-of-a-special-tribunal-for-russia/,unreviewed,
996f0bc4297baf87f8c2,3a45b58de285b8ea4488,politics,U.S. president notifies Congress about closing Civil-Military Coordination Center,"Will Donald Trump notify Congress about plans to close the Civil-Military Coordination Center before May 1, 2026?",2026-04-30,"Donald Trump notified Congress about planning to close the Civil-Military Coordination Center, while the Board of Peace denied such reports.",Times of Israel,invalid_resolution_source_url; needs_external_fact_check,2026-05-01 | wikipedia_current_events | U.S. president | Donald Trump notifies Congress that it is planning to close the Civil-Military Coordination Center. The Board of Peace denies such reports.,https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_1; https://www.timesofisrael.com/board-of-peace-denies-plans-to-shut-down-ceasefire-coordination-hq-in-israels-south/,unreviewed,
c8b8c9f15926ee0ac39e,26f6ca5b6b095e8dccca,politics,2026 Bolivian Air Force Lockheed C-130 crash,"Were the pilot and co-pilot of the crashed Bolivian military cargo plane arrested and charged with involuntary manslaughter by May 2, 2026?",2026-05-01,Bolivian law enforcement authorities arrest the pilot and co-pilot... placing them in pre-trial detention on involuntary manslaughter charges.,https://www.manilatimes.net/2026/05/04/world/americas-emea/pilot-co-pilot-arrested-in-deadly-bolivian-military-plane-crash/2334443,,"2026-05-02 | wikipedia_current_events | 2026 Bolivian Air Force Lockheed C-130 crash | Bolivian law enforcement authorities arrest the pilot and co-pilot of a military cargo plane that crashed near El Alto International Airport, killing 22 people, and place them in pre-trial detention on involuntary manslaughter charges.",https://en.wikipedia.org/wiki/Portal:Current_events/2026_May_2; https://www.manilatimes.net/2026/05/04/world/americas-emea/pilot-co-pilot-arrested-in-deadly-bolivian-military-plane-crash/2334443,unreviewed,
